nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
8;2.68148;0.39473595;112.215;597.34;29.57;4.24E-04;265.28;0.252;0.290;290.93;167.20;43.49;-2.9269;536.96;0.0051;-6.61E-06;0.2650;0.2679;0.2857;17.7680;-2493.70;-3.3311;0.0000E+00;0.0000E+00;144.638;0.4357;-1.1734E-03;1.7892E-06;0.1819;-9.9619E-05;-2.3070E-07;51.893;0.380;57.040;1.2222;29.59
8;2.96757;0.43685084;112.215;586.99;29.57;4.24E-04;265.28;0.256;0.290;287.04;186.08;43.49;-2.4780;459.78;0.0042;-6.16E-06;0.2650;0.2739;0.2857;17.8030;-2454.50;-3.3501;0.0000E+00;0.0000E+00;139.273;0.4777;-1.3016E-03;1.9350E-06;0.1803;-9.4532E-05;-2.4600E-07;50.951;0.380;56.692;1.2222;32.15
8;2.68066;0.39461499;112.215;587.14;29.57;4.24E-04;265.28;0.256;0.290;287.04;167.25;43.49;-2.4852;460.98;0.0042;-6.17E-06;0.2426;0.2472;0.2677;17.3790;-2426.90;-3.2145;0.0000E+00;0.0000E+00;143.320;0.4454;-1.2186E-03;1.8667E-06;0.1817;-1.0092E-04;-2.3885E-07;50.964;0.380;56.697;1.2222;29.59
8;2.96750;0.43684002;112.215;586.99;29.57;4.24E-04;265.28;0.256;0.290;287.04;165.15;43.49;-2.4780;459.78;0.0042;-6.16E-06;0.2650;0.2739;0.2857;16.8870;-2393.60;-3.0569;0.0000E+00;0.0000E+00;143.920;0.4408;-1.2062E-03;1.8544E-06;0.1819;-1.0163E-04;-2.3822E-07;50.951;0.380;56.692;1.2222;32.15
8;1.16009;0.17077436;112.215;603.00;30.00;4.25E-04;264.04;0.254;0.272;292.59;155.82;43.66;-3.9428;691.07;0.0072;-7.92E-06;0.2641;0.2701;0.2903;33.9220;-3209.70;-8.9914;-3.2992E-11;2.0684E-06;129.599;0.5540;-1.5899E-03;2.2092E-06;0.1824;-1.0245E-04;-2.2173E-07;55.488;0.426;56.934;1.2410;37.42
8;5.13593;0.75604982;112.215;582.21;28.54;4.22E-04;265.91;0.249;0.263;284.26;140.60;43.32;-0.8482;240.43;0.0003;-3.11E-06;0.2656;0.2755;0.2857;17.6470;-2395.00;-3.3284;0.0000E+00;0.0000E+00;147.846;0.4017;-1.1112E-03;1.7889E-06;0.1830;-1.1018E-04;-2.3216E-07;49.685;0.380;55.371;1.2222;26.47
8;4.85030;0.71400311;112.215;572.46;28.54;4.22E-04;265.91;0.253;0.275;280.93;160.45;43.32;-0.1152;128.72;-0.0014;-2.04E-06;0.2656;0.2782;0.2857;17.1240;-2322.50;-3.1681;0.0000E+00;0.0000E+00;142.061;0.4473;-1.2531E-03;1.9595E-06;0.1815;-1.0535E-04;-2.4728E-07;48.812;0.380;55.045;1.2222;24.22
8;6.79311;1.00000000;112.215;571.30;31.07;4.21E-04;266.54;0.275;0.211;278.15;130.71;43.65;-2.1698;383.16;0.0038;-6.07E-06;0.2662;0.2812;0.2857;16.5630;-2260.30;-2.9884;0.0000E+00;0.0000E+00;145.222;0.3718;-1.0381E-03;1.7320E-06;0.1816;-1.1534E-04;-2.3212E-07;47.805;0.380;56.762;1.2222;25.63
8;4.84972;0.71391795;112.215;583.36;28.54;4.25E-04;264.66;0.254;0.273;284.82;161.15;43.32;-0.9251;252.39;0.0004;-3.22E-06;0.2656;0.2726;0.2857;17.8460;-2412.70;-3.3912;0.0000E+00;0.0000E+00;143.346;0.4372;-1.2034E-03;1.8704E-06;0.1816;-1.0357E-04;-2.3836E-07;49.788;0.380;55.409;1.2222;24.22
8;6.33697;0.93285319;112.215;584.65;31.07;4.21E-04;266.54;0.269;0.252;282.59;251.51;43.64;-2.8169;491.58;0.0051;-6.76E-06;0.2662;0.2728;0.2857;16.9220;-2334.80;-3.0940;0.0000E+00;0.0000E+00;119.302;0.5797;-1.5579E-03;2.1292E-06;0.1723;-7.0263E-05;-2.6928E-07;48.979;0.380;57.223;1.2222;20.14
