nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
13;5.29919;0.86414412;170.254;783.95;26.71;5.78E-04;294.56;0.237;0.487;389.82;301.15;39.92;-8.9898;1813.80;0.0151;-1.05E-05;0.2948;0.2457;0.2857;47.2770;-6179.50;-12.1250;0.0000E+00;0.0000E+00;161.025;0.9976;-2.0973E-03;2.0144E-06;0.1496;-3.5878E-05;-1.4402E-07;78.858;0.380;63.772;1.2222;3.09
13;5.76458;1.00000000;170.254;775.49;26.71;5.78E-04;294.56;0.239;0.487;385.93;375.15;39.92;-8.6305;1735.50;0.0146;-1.03E-05;0.2948;0.2433;0.2857;24.8560;-4172.50;-5.2511;0.0000E+00;0.0000E+00;76.117;1.5032;-3.0810E-03;2.6685E-06;0.1430;-1.5027E-05;-1.6397E-07;77.928;0.380;63.530;1.2222;3.36
13;5.29924;0.86415826;170.254;782.54;26.71;5.78E-04;294.56;0.237;0.495;389.26;325.15;39.92;-8.9311;1800.90;0.0150;-1.05E-05;0.2948;0.2456;0.2857;29.3340;-4600.20;-6.6197;0.0000E+00;0.0000E+00;139.666;1.1289;-2.3516E-03;2.1800E-06;0.1477;-2.9842E-05;-1.4933E-07;78.703;0.380;63.732;1.2222;2.73
13;5.29905;0.86410277;170.254;779.72;26.71;5.78E-04;294.56;0.238;0.490;388.15;306.65;39.92;-8.8122;1774.90;0.0148;-1.04E-05;0.2948;0.2453;0.2857;19.4620;-3724.00;-3.5908;0.0000E+00;0.0000E+00;154.454;1.0374;-2.1862E-03;2.0879E-06;0.1490;-3.4473E-05;-1.4679E-07;78.393;0.380;63.651;1.2222;2.19
13;5.53143;0.93193931;170.254;779.72;26.71;5.78E-04;294.56;0.238;0.492;388.15;298.15;40.32;-8.8122;1774.90;0.0148;-1.04E-05;0.2948;0.2437;0.2857;20.6930;-3831.30;-3.9688;0.0000E+00;0.0000E+00;160.095;1.0014;-2.1195E-03;2.0504E-06;0.1497;-3.6553E-05;-1.4514E-07;78.393;0.380;63.651;1.2222;2.45
13;5.53036;0.93162713;170.254;776.90;26.71;5.78E-04;294.56;0.239;0.488;386.48;416.15;39.92;-8.6915;1748.70;0.0147;-1.04E-05;0.2948;0.2451;0.2857;22.5700;-3981.10;-4.5474;0.0000E+00;0.0000E+00;14.387;1.8494;-3.7041E-03;3.0321E-06;0.1387;-1.1105E-06;-1.7443E-07;78.083;0.380;63.571;1.2222;2.38
13;5.29577;0.86314630;170.254;786.77;26.91;5.73E-04;297.65;0.235;0.482;390.93;417.15;39.92;-9.1060;1839.40;0.0152;-1.06E-05;0.2948;0.2459;0.2857;18.6270;-3683.10;-3.3303;0.0000E+00;0.0000E+00;23.365;1.7915;-3.5506E-03;2.8867E-06;0.1390;-2.1599E-06;-1.6938E-07;79.168;0.380;63.852;1.2222;2.75
13;5.53155;0.93197564;170.254;786.07;26.25;5.84E-04;291.53;0.234;0.495;390.93;319.15;39.92;-9.0771;1833.00;0.0152;-1.05E-05;0.2948;0.2458;0.2857;21.5210;-3934.00;-4.2187;0.0000E+00;0.0000E+00;147.085;1.0844;-2.2561E-03;2.1056E-06;0.1482;-3.1485E-05;-1.4665E-07;79.090;0.380;63.832;1.2222;3.06
13;5.76333;0.99963693;170.254;779.72;26.71;5.78E-04;294.56;0.238;0.488;388.15;338.14;39.92;-8.8122;1774.90;0.0148;-1.04E-05;0.2948;0.2453;0.2857;27.2390;-4401.90;-5.9794;0.0000E+00;0.0000E+00;125.194;1.2158;-2.5251E-03;2.3005E-06;0.1465;-2.6254E-05;-1.5330E-07;78.393;0.380;63.651;1.2222;2.77
13;5.52602;0.93036138;170.254;786.77;26.71;5.78E-04;294.56;0.236;0.487;390.93;321.15;39.92;-9.1060;1839.40;0.0152;-1.06E-05;0.2948;0.2453;0.2857;7.8157;-2733.30;-0.0138;0.0000E+00;0.0000E+00;145.236;1.0955;-2.2760E-03;2.1167E-06;0.1481;-3.0998E-05;-1.4676E-07;79.168;0.380;63.852;1.2222;3.01
